participant_id,model,mcs_acc,bayes_acc,rand_acc,ai_acc,hu_acc,cov_hm,rho_hm,ai_auc,hu_auc,epoch,ai_bins,hu_cnfs
1,alexnet,0.745,0.775,0.735,0.695,0.73,0.05793969849246235,0.28204192977279163,0.8889019931595707,0.7851978691019788,1,3,l
1,densenet161,0.795,0.81,0.77,0.785,0.73,0.0773366834170853,0.4219016789938077,0.8838690564360836,0.7851978691019788,1,3,l
1,googlenet,0.78,0.8,0.755,0.76,0.73,0.0554773869346734,0.29112757884360946,0.8947368421052632,0.7851978691019788,1,3,l
1,resnet152,0.785,0.77,0.75,0.765,0.73,0.07693467336683402,0.40666541025283515,0.8888888888888888,0.7851978691019788,1,3,l
1,vgg19,0.8,0.79,0.725,0.77,0.73,0.06321608040200988,0.3366650648265033,0.9175607001693958,0.7851978691019788,1,3,l
2,alexnet,0.78,0.825,0.735,0.705,0.81,0.059246231155779094,0.32950266616516566,0.8431301839163361,0.7953216374269005,1,3,l
2,densenet161,0.81,0.825,0.79,0.755,0.81,0.058743718592964796,0.34642457080990224,0.9117448303824841,0.7953216374269005,1,3,l
2,googlenet,0.79,0.825,0.79,0.745,0.81,0.0618592964824123,0.3599652031681607,0.8689301223845243,0.7953216374269005,1,3,l
2,resnet152,0.82,0.81,0.8,0.77,0.81,0.06663316582914551,0.40159189377762705,0.8658949745906268,0.7953216374269005,1,3,l
2,vgg19,0.825,0.82,0.79,0.77,0.81,0.0415075376884422,0.25016206957791925,0.8410502540937324,0.7953216374269005,1,3,l
4,alexnet,0.655,0.63,0.54,0.675,0.375,0.027010050251256183,0.11852207971857645,0.8613105413105415,0.5106666666666667,1,3,l
4,densenet161,0.745,0.76,0.57,0.76,0.375,0.03517587939698499,0.16927779169233614,0.8433388157894736,0.5106666666666667,1,3,l
4,googlenet,0.705,0.705,0.48,0.72,0.375,0.055276381909547555,0.2530240384255292,0.8893849206349207,0.5106666666666667,1,3,l
4,resnet152,0.74,0.735,0.565,0.73,0.375,0.03140703517587937,0.1453955340528371,0.9076610857432774,0.5106666666666667,1,3,l
4,vgg19,0.78,0.78,0.59,0.775,0.375,0.014447236180904485,0.0711066306832256,0.8898924731182796,0.5106666666666667,1,3,l
5,alexnet,0.845,0.88,0.78,0.745,0.86,0.03949748743718593,0.25985500155976143,0.8616923279378866,0.9462209302325582,1,3,l
5,densenet161,0.885,0.91,0.85,0.81,0.86,0.028542713567839204,0.2086343372849765,0.9228395061728395,0.9462209302325582,1,3,l
5,googlenet,0.855,0.91,0.82,0.78,0.86,0.044422110552763835,0.30750372718547775,0.8636363636363636,0.9462209302325582,1,3,l
5,resnet152,0.845,0.905,0.825,0.78,0.86,0.04442211055276382,0.30750372718547775,0.9286130536130536,0.9462209302325582,1,3,l
5,vgg19,0.895,0.925,0.86,0.82,0.86,0.024924623115577894,0.1860352570221251,0.8795731707317073,0.9462209302325582,1,3,l
